     103   a_wgt =    0.001  b_wgt =    0.020
    1         2    4    1    3    0.31555996E+02
    2         4    6    1    3   -0.24092306E+02
    3         5    7    1    3   -0.88941202E+01
    4         6    8    1    3   -0.58969097E+01
    5         7    9    1    3   -0.41789670E+01
    6         8   10    1    3   -0.25952842E+01
    7         9   11    1    3   -0.21241634E+01
    8        10   12    1    3   -0.21020062E+01
    9        11   13    1    3   -0.27197566E+01
   10        12   14    1    3   -0.41816082E+01
   11        13   15    1    3   -0.80347729E+01
   12        14   16    1    3   -0.23858376E+02
   13        16    2    1    3    0.31045738E+02
   14         3    5    2    4    0.32917686E+02
   15         5    7    2    4   -0.24676281E+02
   16         6    8    2    4   -0.10892599E+02
   17         7    9    2    4   -0.63245401E+01
   18         8   10    2    4   -0.36905081E+01
   19         9   11    2    4   -0.24934189E+01
   20        10   12    2    4   -0.20777884E+01
   21        11   13    2    4   -0.21191554E+01
   22        12   14    2    4   -0.26560106E+01
   23        13   15    2    4   -0.39655552E+01
   24        14   16    2    4   -0.81565762E+01
   25        15    1    2    4   -0.24042786E+02
   26         4    6    3    5    0.33743191E+02
   27         6    8    3    5   -0.27860315E+02
   28         7    9    3    5   -0.11852047E+02
   29         8   10    3    5   -0.60602140E+01
   30         9   11    3    5   -0.35877025E+01
   31        10   12    3    5   -0.24977136E+01
   32        11   13    3    5   -0.22083313E+01
   33        12   14    3    5   -0.21802337E+01
   34        13   15    3    5   -0.27170124E+01
   35        14   16    3    5   -0.41881366E+01
   36        15    1    3    5   -0.78704815E+01
   37        16    2    3    5   -0.23810888E+02
   38         5    7    4    6    0.37233562E+02
   39         7    9    4    6   -0.31120556E+02
   40         8   10    4    6   -0.12240735E+02
   41         9   11    4    6   -0.63566656E+01
   42        10   12    4    6   -0.38720927E+01
   43        11   13    4    6   -0.27211018E+01
   44        12   14    4    6   -0.23691714E+01
   45        13   15    4    6   -0.23677714E+01
   46        14   16    4    6   -0.30075145E+01
   47        15    1    4    6   -0.42040167E+01
   48        16    2    4    6   -0.81971426E+01
   49         6    8    5    7    0.36146614E+02
   50         8   10    5    7   -0.30466717E+02
   51         9   11    5    7   -0.12284766E+02
   52        10   12    5    7   -0.60664802E+01
   53        11   13    5    7   -0.42062216E+01
   54        12   14    5    7   -0.32079606E+01
   55        13   15    5    7   -0.28858895E+01
   56        14   16    5    7   -0.28562145E+01
   57        15    1    5    7   -0.33701642E+01
   58        16    2    5    7   -0.49062767E+01
   59         7    9    6    8    0.35481670E+02
   60         9   11    6    8   -0.27416586E+02
   61        10   12    6    8   -0.10569698E+02
   62        11   13    6    8   -0.61284680E+01
   63        12   14    6    8   -0.40950198E+01
   64        13   15    6    8   -0.32218895E+01
   65        14   16    6    8   -0.29963381E+01
   66        15    1    6    8   -0.32267931E+01
   67        16    2    6    8   -0.38770618E+01
   68         8   10    7    9    0.35403538E+02
   69        10   12    7    9   -0.25933052E+02
   70        11   13    7    9   -0.90421209E+01
   71        12   14    7    9   -0.50845604E+01
   72        13   15    7    9   -0.35888937E+01
   73        14   16    7    9   -0.28714828E+01
   74        15    1    7    9   -0.28322515E+01
   75        16    2    7    9   -0.31525459E+01
   76         9   11    8   10    0.34982010E+02
   77        11   13    8   10   -0.24359962E+02
   78        12   14    8   10   -0.84766541E+01
   79        13   15    8   10   -0.42925072E+01
   80        14   16    8   10   -0.29036090E+01
   81        15    1    8   10   -0.23114004E+01
   82        16    2    8   10   -0.23446493E+01
   83        10   12    9   11    0.32398567E+02
   84        12   14    9   11   -0.23836374E+02
   85        13   15    9   11   -0.80246353E+01
   86        14   16    9   11   -0.42831755E+01
   87        15    1    9   11   -0.27483730E+01
   88        16    2    9   11   -0.21574705E+01
   89        11   13   10   12    0.31904640E+02
   90        13   15   10   12   -0.24432699E+02
   91        14   16   10   12   -0.82980080E+01
   92        15    1   10   12   -0.42419419E+01
   93        16    2   10   12   -0.27127833E+01
   94        12   14   11   13    0.31022867E+02
   95        14   16   11   13   -0.23835630E+02
   96        15    1   11   13   -0.81078358E+01
   97        16    2   11   13   -0.40397716E+01
   98        13   15   12   14    0.31580730E+02
   99        15    1   12   14   -0.24637274E+02
  100        16    2   12   14   -0.81262550E+01
  101        14   16   13   15    0.31570923E+02
  102        16    2   13   15   -0.23701580E+02
  103        15    1   14   16    0.31253033E+02
