92
   1     2     3     1     4    
   2     3     4     2     5    
   3     4     5     3     6    
   4     5     6     4     7    
   5     6     7     5     8    
   6     7     8     6     9    
   7     8     9     7    10    
   8     9    10     8    11    
   9    10    11     9    12    
  10    11    12    10    13    
  11    12    13    11    14    
  12    13    14    12    15    
  13    14    15    13    16    
  14    15    16    14    17    
  15    16    17    15    18    
  16    17    18    16    19    
  17    18    19    17    20    
  18    19    20    18    21    
  19    20    21    19    22    
  20    21    22    20    23    
  21    22    23    21    24    
  22    23    24    22    25    
  30     3     5     1     7    
  31     4     6     2     8    
  32     5     7     3     9    
  33     6     8     4    10    
  34     7     9     5    11    
  35     8    10     6    12    
  36     9    11     7    13    
  37    10    12     8    14    
  38    11    13     9    15    
  39    12    14    10    16    
  40    13    15    11    17    
  41    14    16    12    18    
  42    15    17    13    19    
  43    16    18    14    20    
  44    17    19    15    21    
  45    18    20    16    22    
  46    19    21    17    23    
  47    20    22    18    24    
  48    21    23    19    25    
  56     4     7     1    10    
  57     5     8     2    11    
  58     6     9     3    12    
  59     7    10     4    13    
  60     8    11     5    14    
  61     9    12     6    15    
  62    10    13     7    16    
  63    11    14     8    17    
  64    12    15     9    18    
  65    13    16    10    19    
  66    14    17    11    20    
  67    15    18    12    21    
  68    16    19    13    22    
  69    17    20    14    23    
  70    18    21    15    24    
  71    19    22    16    25    
  79     5     9     1    13    
  80     6    10     2    14    
  81     7    11     3    15    
  82     8    12     4    16    
  83     9    13     5    17    
  84    10    14     6    18    
  85    11    15     7    19    
  86    12    16     8    20    
  87    13    17     9    21    
  88    14    18    10    22    
  89    15    19    11    23    
  90    16    20    12    24    
  91    17    21    13    25    
  99     6    11     1    16    
 100     7    12     2    17    
 101     8    13     3    18    
 102     9    14     4    19    
 103    10    15     5    20    
 104    11    16     6    21    
 105    12    17     7    22    
 106    13    18     8    23    
 107    14    19     9    24    
 108    15    20    10    25    
 116     7    13     1    19    
 117     8    14     2    20    
 118     9    15     3    21    
 119    10    16     4    22    
 120    11    17     5    23    
 121    12    18     6    24    
 122    13    19     7    25    
 130     8    15     1    22    
 131     9    16     2    23    
 132    10    17     3    24    
 133    11    18     4    25    
 141     9    17     1    25    
